company_name,industry,contact_url
株式会社宣伝会議,コンサルティング/専門サービス系,https://www.sendenkaigi.com/inquiry/
エムスリーキャリア株式会社,マスコミ/広告/デザイン/ゲーム/エンターテイメント系,https://www.m3career.com/contact/
日本マイクロソフト株式会社,人材,https://partner.microsoft.com/ja-jp/support/call-center
ポリゴンマジック株式会社,ソフトウェア/ハードウェア開発,https://www.polygonmagic.com/contact/
株式会社バスキュール,WEB・インターネット,https://www.creativevillage.ne.jp/945
株式会社電通国際情報サービス,WEB・インターネット,https://www.isid.co.jp/contact/
ソフトバンク株式会社,システムインテグレータ,https://www.softbank.jp/mobile/support/contact/
株式会社一休,サービス/外食/レジャー系,https://www.ikyu.co.jp/inquiry/
株式会社Speee,WEB・インターネット,https://speee.jp/about/office/
株式会社QLife,ソフトウェア/ハードウェア開発,https://www.qlife.co.jp/inquiry
株式会社ＱＬｉｆｅ,ソフトウェア/ハードウェア開発,https://www.qlife.co.jp/inquiry
Fringe81株式会社,WEB・インターネット,https://www.fringe81.com/ir/contact/
株式会社ラクシーズ,WEB・インターネット,https://luxeys.co.jp/contact/?lang=ja
日本タタ・コンサルタンシー・サービシズ株式会社,ソフトウェア/ハードウェア開発,https://www.tcs.com/jp-ja/ContactUs
日本電気株式会社,総合電機,https://jpn.nec.com/contactus/index.html
テクマトリックス株式会社,ソフトウェア/ハードウェア開発,https://www.techmatrix.co.jp/contact.html
株式会社ビーワークス,コンサルティング/専門サービス系,https://beeworks.co.jp/contact/
株式会社エウレカ,WEB・インターネット,https://eure.jp/contact/
株式会社ゼンリンデータコム,ソフトウェア/ハードウェア開発,http://www.zenrin-datacom.net/contact
イーソリューションズ株式会社,コンサルティング/専門サービス系,http://www.e-solutions.co.jp/inquiry
株式会社ナビタイムジャパン,ソフトウェア/ハードウェア開発,https://corporate.navitime.co.jp/contact/index.html
グリー株式会社,WEB・インターネット,https://corp.gree.net/jp/ja/contact/
株式会社キャリアデザインセンター,人材,https://cdc.type.jp/info/contact.html
株式会社NIコンサルティング,ソフトウェア/ハードウェア開発,https://www.ni-consul.co.jp/contact/inquiry.html
式会社コスモ,不動産/建設/設備系,https://com.cosmo-oil.co.jp/contact/index.html
株式会社ダイダロス,不動産/建設/設備系,https://www.amgakuin.co.jp/contents/p=27516
株式会社SHIFT,システムインテグレータ,https://www.shiftinc.jp/contact/
シアトルコンサルティング株式会社,ソフトウェア/ハードウェア開発,https://www.seattleconsulting.co.jp/contact/
株式会社メイテック,人材,https://www.meitec.co.jp/sp/contact/index.html
株式会社gloops,WEB・インターネット,https://gloops.com/contact/
エムスリー株式会社,WEB・インターネット,https://www.m3.com/inquiry/corporate/index.jsp
株式会社テクノインフィニタス,ソフトウェア/ハードウェア開発,https://houjin.j-bdb.com/50104010185939999
クルーズ株式会社,運輸/交通/物流/倉庫系,https://crooz.co.jp/contact-form
